image,cell,dendrites,kv11,stain,comment
20191226_1_1,9f030412,spiny,NA,poor,
20191226_2_1,9f4023b1,NA,NA,NA,
20191228_1_1,d7d37555,spiny,positive,good,
20191228_2_1,4dc9441c,NA,NA,NA,
20191228_3_1,64d9d925,spiny,negative,good,
20191229_1_1,24eaa106,spiny,NA,bad,
20191229_1_2,7f5eb7b3,spiny,NA,bad,
20191229_2_1,7989d4d3,spiny,NA,bad,
20191229_3_1,82b32cfd,NA,NA,NA,
20191229_4_1,f483f3fb,NA,NA,NA,
20191229_5_1,43d81272,spiny,positive,good,
20191230_1_1,e5c4b412,spiny,positive,fair,
20191230_2_1,db6ce465,NA,NA,NA,
20191230_3_1,7747dbae,spiny,NA,bad,
20191230_4_1,e363b132,NA,NA,NA,
20191230_5_1,78231289,NA,NA,NA,
20191230_6_1,0976f281,spiny,positive,fair,
20191230_7_1,66c3aaa8,spiny,NA,bad,
20191230_8_1,79762c70,varicose,NA,bad,
20191231_1_1,78edfdc1,NA,NA,NA,
20191231_1_2,2a170af9,NA,NA,NA,
20191231_2_1,39edd6db,NA,NA,NA,
20191231_3_1,42862924,spiny,positive,fair,
20191231_5_1,5bd12d78,NA,NA,NA,
20191231_6_1,c81a643a,spiny,positive,fair,
20191231_6_2,e4ba09bb,spiny,negative,fair,
20191231_6_3,65d810a4,spiny,NA,bad,
20191231_7_1,c31e8e0d,spiny,positive,fair,
20191231_7_2,f077af1b,spiny,positive,fair,
20200102_1_1,6d72cd49,varicose,positive,fair,
20200102_1_2,54728067,spiny,positive,fair,
20200102_1_3,6585b98b,varicose,NA,bad,
20200102_2_1,45810,spiny,NA,bad,
20200102_2_2,08cc4a03,spiny,NA,bad,
20200102_3_1,40000be7,spiny,positive,fair,
20200102_3_2,5cd8048c,spiny,positive,OK,
20200102_4_1,363eeac0,NA,NA,NA,
20200102_5_1,f662312c,spiny,NA,bad,
20200102_5_2,630b6977,spiny,NA,bad,
20200120_1_1,0a46ff60,NA,NA,NA,
20200120_2_1,aca29a76,spiny,NA,bad,
20200120_3_1,a85d902c,NA,NA,NA,
20200120_4_1,4942920000,varicose,NA,bad,
20200120_5_1,8973d0fb,spiny,NA,bad,
20200128_1_1,NA,varicose,positive,fair,
20200815_1_1,0db02609,spiny,positive,good,
20200815_1_2,NA,spiny,positive,good,
20200815_2_1,e218e147,spiny,positive,OK,
20200815_3_1,0b0b579e,spiny,positive,fair,two cells labeled
20200815_4_1,d0bf0c0e,NA,NA,NA,
20200816_1_1,ac53609a,spiny,positive,good,
20200816_1_2,e137ca3f,spiny,negative,good,
20200816_2_1,1168501,spiny,positive,good,
20200816_5_1,537694a8,spiny,positive,OK,
20200816_5_2,5bef74ba,NA,NA,NA,
20200816_5_3,4d905763,NA,NA,NA,
20200816_6_1,3e71b764,spiny,positive,fair,
20200816_6_2,f011f9b7,spiny,positive,OK,
20200816_6_3,c2d2838b,spiny,positive,fair,
20200816_6_4,NA,spiny,negative,OK,
20200818_1_1,2e33b971,NA,NA,NA,
20200818_2_1,328b1402,spiny,positive,OK,
20200818_2_2,3302501,NA,NA,NA,
20200818_3_2,e26de824,spiny,NA,misshapen,
20200819_1_1,2d21b861,NA,NA,NA,in Yao's table but no file
20200819_1_2,21f82c25,spiny,positive,good,
20200819_2_1,dcdcb067,NA,positive,good,
20200819_2_2,e90fda4c,spiny,negative,good,
20200819_2_3,7fb68455,spiny,positive,excellent,
20200819_4_1,85f27ccf,spiny,positive,excellent,
20200819_4_3,edf6ad9b,spiny,positive,good,
20200819_4_4,76376398,spiny,negative,good,